experiment,num of users,trace length,max location in trace,max location allowed,Clusters,GLRP,MP,ALRP,VF,User,avg_gen_loss,avg_dist_loss,avg_surge_loss,seed_std,avg_fake_std
sltg_exp1,20,40,40,40,39,05,00,05,4,19,68386.74583333336,66838.16666666667,32.675,2.654712790491657,25.634663339276216
sltg_exp1,20,40,40,40,39,05,00,05,4,20,72232.8291666667,68714.83333333333,34.358333333333334,2.8722813232690143,26.727537988995937
sltg_exp1,20,40,40,40,39,05,00,1,4,1,5131.25,0.0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,2,8967.824999999997,0.0,3.5,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,3,13062.125,0.0,5.25,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,4,14849.225000000006,0.0,7.0,1.2951833846988619,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,5,19009.32500000001,0.0,8.75,10.125432089545612,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,6,25353.32500000001,0.0,10.5,0.0,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,7,27666.275000000023,0.0,12.25,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,8,31959.975000000035,0.0,14.0,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,9,34388.25000000003,0.0,15.75,1.2951833846988619,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,10,38286.42500000002,0.0,17.5,9.9235830222757748,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,11,44073.42500000002,0.0,19.25,0.0,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,12,47910.00000000003,0.0,21.0,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,13,50013.80000000002,0.0,22.75,8.8198639445288496,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,14,53850.37500000003,0.0,24.5,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,15,57774.975000000006,0.0,26.25,8.0925892024740751,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,16,60479.80000000002,0.0,28.0,9.0716247166645942,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,17,64378.32500000004,0.0,29.75,9.5686989711245474,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,18,68632.32500000004,0.0,31.5,0.0,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,19,71021.62500000003,0.0,33.25,2.654712790491657,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,20,74914.62500000003,0.0,35.0,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,1,00,00,4,1,0.0,21712.0,3.5500000000000003,1.2599603168354152,1.2599603168354152
sltg_exp1,20,40,40,40,39,1,00,00,4,2,0.0,77616.0,10.55,11.543396380615196,12.803356697450608
sltg_exp1,20,40,40,40,39,1,00,00,4,3,0.0,91730.0,14.05,2.8722813232690143,15.675638020719628
sltg_exp1,20,40,40,40,39,1,00,00,4,4,0.0,117213.0,16.85,1.2951833846988619,16.970821405418498
sltg_exp1,20,40,40,40,39,1,00,00,4,5,0.0,241451.0,22.150000000000013,10.125432089545612,27.096253494964095
